,Policy,sus,sec,eff
21,"Society (0.0, 0.8, 0.2)","(0.6029828611130237, 0.1981393475117518)","(0.35729264474062616, 0.11824528404160417)","(0.9075810769396316, 0.4176446531784623)"
22,"Society (0.0, 0.9, 0.1)","(0.6246616204751742, 0.20437559651751466)","(0.3283045017653326, 0.10950953394277811)","(0.9873043571648609, 0.4406048650669679)"
23,"Society (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.0, 0.1, 0.9)","(0.407831685806741, 0.1306896679504183)","(0.5734454556374036, 0.20561739521652664)","(0.21339713357271026, 0.10582797234440339)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.0, 0.2, 0.8)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.0, 0.3, 0.7)","(0.41184005715905714, 0.13427150671157048)","(0.5596240140054617, 0.20809761949442118)","(0.2180431558337755, 0.11161178401904663)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.0, 0.4, 0.6)","(0.4112673707920629, 0.1350141872095556)","(0.532654053039694, 0.18962578126651003)","(0.232201135866298, 0.13155386333637206)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.5, 0.5)","(0.40879985198951446, 0.13321801125101154)","(0.5105179943713761, 0.19217822396460824)","(0.25091846306282894, 0.1535144697310757)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.0, 0.6, 0.4)","(0.4156523654275684, 0.13696804202787521)","(0.489427384220969, 0.18838394922903387)","(0.2788361549338381, 0.1703549033918388)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.0, 0.7, 0.3)","(0.44640763582873133, 0.1493494141932513)","(0.4154471169747826, 0.14442935544531285)","(0.41952364965675915, 0.28972946132863975)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.0, 0.8, 0.2)","(0.48194687710048656, 0.15779995505354988)","(0.3655817901145431, 0.135285253006152)","(0.5687208209128585, 0.34609206746142096)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.0, 0.9, 0.1)","(0.5757738001327533, 0.2054015011100124)","(0.3067980964212773, 0.10346796638765508)","(0.8830489195641252, 0.4742165103724978)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
